Instance,Init,Algorithm,Cost,Time_s
N-t59n11xx_250,CW,Insert_Best,808042,0.578352
N-t59n11xx_250,CW,VND_TEI,808894,3.135717
N-t59n11xx_250,CW,VND_TIE,806980,2.215496
N-t65b11xx_150,Random,Transpose_First,4321260,0.000005
N-t65b11xx_150,Random,Transpose_Best,4336920,0.000009
N-t65b11xx_150,Random,Exchange_First,6288862,0.367277
N-t65b11xx_150,Random,Exchange_Best,6155506,0.065201
N-t65b11xx_150,Random,Insert_First,6357867,0.420672
N-t65b11xx_150,Random,Insert_Best,6298106,0.080949
N-t65b11xx_150,CW,Transpose_First,5358202,0.000008
N-t65b11xx_150,CW,Transpose_Best,5368063,0.000009
N-t65b11xx_150,CW,Exchange_First,6289715,0.256756
N-t65b11xx_150,CW,Exchange_Best,6273353,0.061296
N-t65b11xx_150,CW,Insert_First,6313937,0.266710
N-t65b11xx_150,CW,Insert_Best,6331977,0.062960
N-t65b11xx_150,CW,VND_TEI,6340222,0.298042
N-t65b11xx_150,CW,VND_TIE,6313684,0.265460
N-t65b11xx_250,Random,Transpose_First,10983195,0.000012
N-t65b11xx_250,Random,Transpose_Best,11094873,0.000021
N-t65b11xx_250,Random,Exchange_First,16760124,4.118427
N-t65b11xx_250,Random,Exchange_Best,16567664,0.577068
N-t65b11xx_250,Random,Insert_First,16780305,4.037247
N-t65b11xx_250,Random,Insert_Best,16880766,0.655978
N-t65b11xx_250,CW,Transpose_First,14209759,0.000014
N-t65b11xx_250,CW,Transpose_Best,14206807,0.000024
N-t65b11xx_250,CW,Exchange_First,16881483,3.899692
N-t65b11xx_250,CW,Exchange_Best,16685819,0.527726
N-t65b11xx_250,CW,Insert_First,16922940,3.153342
N-t65b11xx_250,CW,Insert_Best,16920396,0.613598
N-t65b11xx_250,CW,VND_TEI,16897981,3.941436
N-t65b11xx_250,CW,VND_TIE,16912869,2.986222
N-t65d11xx_150,Random,Transpose_First,2385962,0.000008
N-t65d11xx_150,Random,Transpose_Best,2398550,0.000011
N-t65d11xx_150,Random,Exchange_First,3451744,0.302222
N-t65d11xx_150,Random,Exchange_Best,3436373,0.065841
N-t65d11xx_150,Random,Insert_First,3511088,0.359808
N-t65d11xx_150,Random,Insert_Best,3449880,0.080082
N-t65d11xx_150,CW,Transpose_First,3017902,0.000006
