Instance,Init,Algorithm,Cost,Time_s,Deviation_%
N-t59f11xx_250,CW,Exchange_Best,3859920,0.565093,3.332978
N-t59f11xx_250,CW,Insert_First,3926705,2.196044,1.660428
N-t59f11xx_250,CW,Insert_Best,3916172,0.616542,1.924214
N-t59f11xx_250,CW,VND_TEI,3923064,3.115094,1.751613
N-t59f11xx_250,CW,VND_TIE,3929087,2.068818,1.600774
N-t59n11xx_150,Random,Transpose_First,201789,0.000008,36.735327
N-t59n11xx_150,Random,Transpose_Best,202344,0.000010,36.561324
N-t59n11xx_150,Random,Exchange_First,309357,0.331551,3.010722
N-t59n11xx_150,Random,Exchange_Best,309362,0.072923,3.009155
N-t59n11xx_150,Random,Insert_First,311760,0.247783,2.257336
N-t59n11xx_150,Random,Insert_Best,315761,0.087426,1.002947
N-t59n11xx_150,CW,Transpose_First,268707,0.000005,15.755267
N-t59n11xx_150,CW,Transpose_Best,268569,0.000008,15.798533
N-t59n11xx_150,CW,Exchange_First,309278,0.208276,3.035490
N-t59n11xx_150,CW,Exchange_Best,308479,0.054548,3.285992
N-t59n11xx_150,CW,Insert_First,312672,0.203287,1.971407
N-t59n11xx_150,CW,Insert_Best,312580,0.066328,2.000251
N-t59n11xx_150,CW,VND_TEI,311997,0.222038,2.183032
N-t59n11xx_150,CW,VND_TIE,312882,0.197247,1.905568
N-t59n11xx_250,Random,Transpose_First,551214,0.000012,33.235385
N-t59n11xx_250,Random,Transpose_Best,551318,0.000022,33.222789
N-t59n11xx_250,Random,Exchange_First,804222,3.735568,2.590333
N-t59n11xx_250,Random,Exchange_Best,790131,0.552290,4.297076
N-t59n11xx_250,Random,Insert_First,807724,2.641348,2.166161
N-t59n11xx_250,Random,Insert_Best,803197,0.652525,2.714484
N-t59n11xx_250,CW,Transpose_First,677500,0.000013,17.939264
N-t59n11xx_250,CW,Transpose_Best,677908,0.000020,17.889846
N-t59n11xx_250,CW,Exchange_First,801923,3.066800,2.868795
N-t59n11xx_250,CW,Exchange_Best,800054,0.477681,3.095173
N-t59n11xx_250,CW,Insert_First,807647,2.325475,2.175488
N-t59n11xx_250,CW,Insert_Best,808042,0.608698,2.127644
N-t59n11xx_250,CW,VND_TEI,808894,3.244191,2.024447
N-t59n11xx_250,CW,VND_TIE,806980,2.099194,2.256277
N-t65b11xx_150,Random,Transpose_First,4321260,0.000008,33.043542
N-t65b11xx_150,Random,Transpose_Best,4336920,0.000010,32.800895
N-t65b11xx_150,Random,Exchange_First,6288862,0.374984,2.556216
N-t65b11xx_150,Random,Exchange_Best,6155506,0.070800,4.622522
N-t65b11xx_150,Random,Insert_First,6357867,0.376175,1.487007
N-t65b11xx_150,Random,Insert_Best,6298106,0.081946,2.412984
N-t65b11xx_150,CW,Transpose_First,5358202,0.000006,16.976477
N-t65b11xx_150,CW,Transpose_Best,5368063,0.000010,16.823684
N-t65b11xx_150,CW,Exchange_First,6289715,0.263921,2.542999
N-t65b11xx_150,CW,Exchange_Best,6273353,0.062877,2.796523
N-t65b11xx_150,CW,Insert_First,6313937,0.238202,2.167688
N-t65b11xx_150,CW,Insert_Best,6331977,0.064291,1.888164
N-t65b11xx_150,CW,VND_TEI,6340222,0.299127,1.760410
N-t65b11xx_150,CW,VND_TIE,6313684,0.242948,2.171608
N-t65b11xx_250,Random,Transpose_First,10983195,0.000027,36.417752
N-t65b11xx_250,Random,Transpose_Best,11094873,0.000049,35.771243
N-t65b11xx_250,Random,Exchange_First,16760124,4.290050,2.974830
N-t65b11xx_250,Random,Exchange_Best,16567664,0.614180,4.088990
N-t65b11xx_250,Random,Insert_First,16780305,3.860599,2.858001
N-t65b11xx_250,Random,Insert_Best,16880766,0.683463,2.276428
N-t65b11xx_250,CW,Transpose_First,14209759,0.000014,17.739016
N-t65b11xx_250,CW,Transpose_Best,14206807,0.000030,17.756106
N-t65b11xx_250,CW,Exchange_First,16881483,4.101986,2.272277
N-t65b11xx_250,CW,Exchange_Best,16685819,0.551997,3.404985
N-t65b11xx_250,CW,Insert_First,16922940,3.017557,2.032280
N-t65b11xx_250,CW,Insert_Best,16920396,0.643621,2.047008
N-t65b11xx_250,CW,VND_TEI,16897981,4.084311,2.176769
N-t65b11xx_250,CW,VND_TIE,16912869,2.876102,2.090582
N-t65d11xx_150,Random,Transpose_First,2385962,0.000008,32.966300
N-t65d11xx_150,Random,Transpose_Best,2398550,0.000013,32.612639
N-t65d11xx_150,Random,Exchange_First,3451744,0.310652,3.023111
N-t65d11xx_150,Random,Exchange_Best,3436373,0.072577,3.454960
N-t65d11xx_150,Random,Insert_First,3511088,0.331116,1.355839
N-t65d11xx_150,Random,Insert_Best,3449880,0.091581,3.075480
N-t65d11xx_150,CW,Transpose_First,3017902,0.000009,15.211919
N-t65d11xx_150,CW,Transpose_Best,3026799,0.000014,14.961958
N-t65d11xx_150,CW,Exchange_First,3487281,0.239198,2.024697
N-t65d11xx_150,CW,Exchange_Best,3444161,0.051052,3.236155
N-t65d11xx_150,CW,Insert_First,3491289,0.206931,1.912092
N-t65d11xx_150,CW,Insert_Best,3486585,0.075522,2.044251
N-t65d11xx_150,CW,VND_TEI,3505565,0.258037,1.511007
N-t65d11xx_150,CW,VND_TIE,3505966,0.209992,1.499741
N-t65d11xx_250,Random,Transpose_First,6291686,0.000014,32.721444
N-t65d11xx_250,Random,Transpose_Best,6318920,0.000026,32.430224
N-t65d11xx_250,Random,Exchange_First,9075505,3.820547,2.953379
N-t65d11xx_250,Random,Exchange_Best,8968092,0.613537,4.101973
N-t65d11xx_250,Random,Insert_First,9087435,3.728183,2.825808
N-t65d11xx_250,Random,Insert_Best,9105394,0.795057,2.633768
N-t65d11xx_250,CW,Transpose_First,7889100,0.000016,15.639901
N-t65d11xx_250,CW,Transpose_Best,7881453,0.000029,15.721672
N-t65d11xx_250,CW,Exchange_First,9148690,3.586163,2.170793
N-t65d11xx_250,CW,Exchange_Best,9091834,0.544718,2.778769
N-t65d11xx_250,CW,Insert_First,9179106,2.730244,1.845548
N-t65d11xx_250,CW,Insert_Best,9173885,0.609119,1.901377
N-t65d11xx_250,CW,VND_TEI,9180513,3.388895,1.830502
N-t65d11xx_250,CW,VND_TIE,9201855,2.684495,1.602287
N-t65f11xx_150,Random,Transpose_First,2143139,0.000008,32.164677
N-t65f11xx_150,Random,Transpose_Best,2144084,0.000008,32.134765
N-t65f11xx_150,Random,Exchange_First,3060658,0.315198,3.123071
N-t65f11xx_150,Random,Exchange_Best,3053624,0.058864,3.345714
N-t65f11xx_150,Random,Insert_First,3077304,0.364255,2.596187
N-t65f11xx_150,Random,Insert_Best,3094701,0.075362,2.045531
N-t65f11xx_150,CW,Transpose_First,2650742,0.000007,16.097864
N-t65f11xx_150,CW,Transpose_Best,2647685,0.000011,16.194625
N-t65f11xx_150,CW,Exchange_First,3084141,0.225688,2.379780
N-t65f11xx_150,CW,Exchange_Best,3060886,0.054772,3.115854
N-t65f11xx_150,CW,Insert_First,3089054,0.249748,2.224272
N-t65f11xx_150,CW,Insert_Best,3101222,0.066582,1.839126
N-t65f11xx_150,CW,VND_TEI,3091743,0.274720,2.139159
N-t65f11xx_150,CW,VND_TIE,3086926,0.183428,2.291628
N-t65f11xx_250,Random,Transpose_First,5792510,0.000020,31.119997
