Instance,Init,Algorithm,Cost,Time_s
N-t65f11xx_150,CW,Transpose_Best,2647685,0.000011
N-t65f11xx_150,CW,Exchange_First,3084141,0.225688
N-t65f11xx_150,CW,Exchange_Best,3060886,0.054772
N-t65f11xx_150,CW,Insert_First,3089054,0.249748
N-t65f11xx_150,CW,Insert_Best,3101222,0.066582
N-t65f11xx_150,CW,VND_TEI,3091743,0.274720
N-t65f11xx_150,CW,VND_TIE,3086926,0.183428
N-t65f11xx_250,Random,Transpose_First,5792510,0.000020
N-t65f11xx_250,Random,Transpose_Best,5797863,0.000033
N-t65f11xx_250,Random,Exchange_First,8149745,4.153299
N-t65f11xx_250,Random,Exchange_Best,8104673,0.673262
N-t65f11xx_250,Random,Insert_First,8253745,3.834303
N-t65f11xx_250,Random,Insert_Best,8196647,0.731901
N-t65f11xx_250,CW,Transpose_First,7114179,0.000017
N-t65f11xx_250,CW,Transpose_Best,7121152,0.000030
N-t65f11xx_250,CW,Exchange_First,8200306,3.334264
N-t65f11xx_250,CW,Exchange_Best,8119279,0.488030
N-t65f11xx_250,CW,Insert_First,8289311,2.796644
N-t65f11xx_250,CW,Insert_Best,8238391,0.659089
N-t65f11xx_250,CW,VND_TEI,8246160,3.523161
N-t65f11xx_250,CW,VND_TIE,8257075,2.308827
N-t65l11xx_150,Random,Transpose_First,128191,0.000005
N-t65l11xx_150,Random,Transpose_Best,128369,0.000003
N-t65l11xx_150,Random,Exchange_First,250051,0.266020
N-t65l11xx_150,Random,Exchange_Best,247080,0.057487
N-t65l11xx_150,Random,Insert_First,248920,0.188451
N-t65l11xx_150,Random,Insert_Best,249865,0.081193
N-t65l11xx_150,CW,Transpose_First,212453,0.000003
N-t65l11xx_150,CW,Transpose_Best,212466,0.000005
N-t65l11xx_150,CW,Exchange_First,247354,0.210534
N-t65l11xx_150,CW,Exchange_Best,246467,0.037750
N-t65l11xx_150,CW,Insert_First,248929,0.153498
N-t65l11xx_150,CW,Insert_Best,249067,0.055158
N-t65l11xx_150,CW,VND_TEI,249201,0.219362
N-t65l11xx_150,CW,VND_TIE,248967,0.154523
N-t65l11xx_250,Random,Transpose_First,395635,0.000007
N-t65l11xx_250,Random,Transpose_Best,396207,0.000010
N-t65l11xx_250,Random,Exchange_First,652205,3.601785
N-t65l11xx_250,Random,Exchange_Best,642843,0.505361
N-t65l11xx_250,Random,Insert_First,653157,2.304578
N-t65l11xx_250,Random,Insert_Best,651004,0.691939
N-t65l11xx_250,CW,Transpose_First,540729,0.000007
